C:\Users\Karl\Desktop\_Medidas\2017 12 05\jane doe 10h10  13.12.02 2017-12-05.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 05.12.2017 / 13:01:39 / HAAKE RheoWin 4.30.0021
Substance / Sample no: jane doe 10h10 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;82,15;4,392;1,000;6,283;2,043;0,7367;2,172;0,3456;
1|2;87,48;9,717;1,000;6,283;2,019;0,7544;2,156;0,3431;
1|3;92,95;15,19;1,000;6,283;1,953;0,7395;2,088;0,3323;
1|4;98,34;20,58;1,000;6,283;1,893;0,7570;2,039;0,3246;
1|5;103,8;26,01;1,000;6,283;1,811;0,7470;1,959;0,3117;
1|6;109,2;31,46;1,000;6,283;1,719;0,7422;1,872;0,2979;
1|7;114,7;36,95;1,000;6,283;1,609;0,7183;1,762;0,2804;
1|8;120,1;42,34;1,000;6,283;1,493;0,6834;1,642;0,2613;
1|9;125,5;47,78;1,000;6,283;1,375;0,6496;1,521;0,2421;
1|10;131,0;53,20;1,000;6,283;1,263;0,6064;1,401;0,2230;
2|1;172,8;40,36;0,1000;0,6283;0,9023;0,4783;1,021;1,625;
2|2;205,5;73,08;0,1468;0,9222;1,115;0,5313;1,235;1,339;
2|3;228,0;95,58;0,2154;1,354;1,282;0,5810;1,407;1,040;
2|4;243,5;111,1;0,3162;1,987;1,436;0,6300;1,568;0,7893;
2|5;254,2;121,8;0,4642;2,916;1,575;0,6872;1,718;0,5891;
2|6;261,3;128,9;0,6813;4,281;1,676;0,7460;1,834;0,4285;
2|7;266,5;134,1;1,000;6,283;2,009;0,8528;2,183;0,3474;
2|8;270,5;138,1;1,468;9,222;2,642;0,3552;2,666;0,2891;
2|9;273,4;141,0;2,154;13,54;2,277;0,1202;2,280;0,1684;
2|10;275,7;143,3;3,162;19,87;2,191;3,633;4,243;0,2135;
2|11;277,4;145,0;4,642;29,16;14,67;6,827;16,19;0,5550;
3|1;311,4;33,10; ; ; ; ; ; ;
3|2;344,6;66,27; ; ; ; ; ; ;
3|3;377,8;99,47; ; ; ; ; ; ;
3|4;410,9;132,6; ; ; ; ; ; ;
3|5;444,1;165,7; ; ; ; ; ; ;
3|6;477,2;198,8; ; ; ; ; ; ;
3|7;510,4;232,0; ; ; ; ; ; ;
3|8;543,5;265,2; ; ; ; ; ; ;
3|9;576,7;298,3; ; ; ; ; ; ;
3|10;609,8;331,4; ; ; ; ; ; ;
