C:\Users\Karl\Desktop\_Medidas\2017 11 21\jane doe 9h30  15.44.34 2017-11-21.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 21.11.2017 / 15:33:14 / HAAKE RheoWin 4.63.0003
Substance / Sample no: jane doe 9h30 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;143,6;7,266;1,000;6,283;6,886;1,713;7,096;1,129;
1|2;148,3;11,95;1,000;6,283;6,988;1,742;7,202;1,146;
1|3;153,1;16,72;1,000;6,283;7,031;1,737;7,242;1,153;
1|4;157,8;21,46;1,000;6,283;7,011;1,734;7,222;1,149;
1|5;162,7;26,33;1,000;6,283;6,965;1,707;7,171;1,141;
1|6;167,5;31,09;1,000;6,283;6,930;1,719;7,140;1,136;
1|7;172,2;35,83;1,000;6,283;6,879;1,734;7,094;1,129;
1|8;177,0;40,58;1,000;6,283;6,726;1,729;6,945;1,105;
1|9;181,7;45,32;1,000;6,283;6,466;1,718;6,690;1,065;
1|10;186,4;50,04;1,000;6,283;6,049;1,695;6,282;0,9998;
2|1;227,4;40,40;0,1000;0,6283;4,602;1,378;4,804;7,646;
2|2;255,5;68,53;0,1468;0,9222;4,960;1,409;5,156;5,591;
2|3;274,8;87,87;0,2154;1,354;5,293;1,446;5,487;4,053;
2|4;288,3;101,4;0,3162;1,987;5,633;1,488;5,827;2,932;
2|5;297,8;110,8;0,4642;2,916;5,967;1,537;6,162;2,113;
2|6;304,3;117,4;0,6813;4,281;6,302;1,600;6,502;1,519;
2|7;312,1;125,2;1,000;6,283;6,679;1,686;6,888;1,096;
2|8;319,0;132,0;1,468;9,222;6,975;1,796;7,203;0,7810;
2|9;324,9;137,9;2,154;13,54;7,630;1,849;7,851;0,5800;
2|10;330,5;143,5;3,162;19,87;8,160;2,218;8,456;0,4256;
2|11;336,0;149,1;4,642;29,16;9,147;2,626;9,516;0,3263;
3|1;369,5;33,01; ; ; ; ; ; ;
3|2;402,7;66,16; ; ; ; ; ; ;
3|3;435,8;99,29; ; ; ; ; ; ;
3|4;469,0;132,5; ; ; ; ; ; ;
3|5;502,2;165,6; ; ; ; ; ; ;
3|6;535,4;198,8; ; ; ; ; ; ;
3|7;568,5;232,0; ; ; ; ; ; ;
3|8;601,7;265,1; ; ; ; ; ; ;
3|9;634,8;298,2; ; ; ; ; ; ;
3|10;667,9;331,4; ; ; ; ; ; ;
