C:\Users\Karl\Google Drive\Doutorado\Reologia\2018 - Oscilatórios Aprofundados\rwd\2018 01 03\Agua1 Conj   23.34.40 2018-03-01.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 01.03.2018 / 15:36:49 / HAAKE RheoWin 4.63.0003
Substance / Sample no: Agua1 Conj / 

;GP / 1/s;Eta / Pas;omega / rad/s;G' / Pa;G'' / Pa;T / °C;Tau / Pa;
3|19;0,02724;1876; ; ; ;25,00;51,11;
3|20;0,03806;1533; ; ; ;25,00;58,36;
3|21;0,05302;1159; ; ; ;25,00;61,44;
3|22;0,07331;785,4; ; ; ;25,00;57,58;
3|23;0,09978;498,8; ; ; ;25,00;49,77;
3|24;0,1356;310,3; ; ; ;25,01;42,06;
3|25;0,1843;200,4; ; ; ;25,01;36,93;
3|26;0,2513;136,3; ; ; ;25,04;34,26;
3|27;0,3433;94,57; ; ; ;25,07;32,47;
3|28;0,4691;65,51; ; ; ;25,11;30,73;
3|29;0,6408;46,75; ; ; ;25,10;29,96;
3|30;0,8759;34,46; ; ; ;25,01;30,19;
3|31;1,197;25,75; ; ; ;24,94;30,83;
3|32;1,637;18,40; ; ; ;24,71;30,12;
3|33;2,237;10,99; ; ; ;24,83;24,59;
3|34;3,058;7,898; ; ; ;24,97;24,15;
3|35;4,183;6,366; ; ; ;25,00;26,63;
3|36;5,720;6,410; ; ; ;25,00;36,66;
3|37;7,820;5,546; ; ; ;25,00;43,37;
3|38;10,69;5,126; ; ; ;25,00;54,82;
3|39;14,63;2,285; ; ; ;25,00;33,42;
3|40;20,00;1,997; ; ; ;25,00;39,94;
