C:\Users\Karl\Desktop\_Medidas\2017 11 07\jane doe 9h30  14.04.12 2017-11-07.rwd
Company / Operator: UNICAMP / IQ
Date / Time / Version: 07.11.2017 / 13:54:15 / HAAKE RheoWin 4.63.0003
Substance / Sample no: jane doe 9h30 / 

;t / s;t_seg / s;f / Hz;omega / rad/s;G' / Pa;G'' / Pa;|G*| / Pa;|Eta*| / Pas;
1|1;67,89;7,243;1,000;6,283;5,272;1,757;5,558;0,8845;
1|2;72,66;12,01;1,000;6,283;5,228;1,604;5,468;0,8703;
1|3;77,40;16,75;1,000;6,283;5,301;1,603;5,538;0,8815;
1|4;82,07;21,42;1,000;6,283;5,311;1,587;5,543;0,8822;
1|5;86,78;26,13;1,000;6,283;5,293;1,578;5,523;0,8790;
1|6;91,53;30,88;1,000;6,283;5,211;1,578;5,444;0,8665;
1|7;96,33;35,68;1,000;6,283;5,067;1,578;5,307;0,8446;
1|8;101,0;40,38;1,000;6,283;4,805;1,579;5,057;0,8049;
1|9;105,7;45,09;1,000;6,283;4,355;1,538;4,618;0,7350;
1|10;110,5;49,81;1,000;6,283;3,787;1,463;4,060;0,6462;
2|1;151,4;40,35;0,1000;0,6283;3,016;1,391;3,321;5,286;
2|2;179,4;68,44;0,1468;0,9222;3,525;1,389;3,789;4,108;
2|3;198,9;87,85;0,2154;1,354;3,902;1,401;4,146;3,063;
2|4;212,3;101,3;0,3162;1,987;4,257;1,431;4,491;2,260;
2|5;221,7;110,6;0,4642;2,916;4,613;1,487;4,846;1,662;
2|6;228,2;117,2;0,6813;4,281;4,959;1,548;5,195;1,214;
2|7;236,0;125,0;1,000;6,283;5,280;1,601;5,518;0,8782;
2|8;243,0;132,0;1,468;9,222;5,635;1,697;5,885;0,6382;
2|9;249,4;138,4;2,154;13,54;6,432;1,977;6,729;0,4971;
2|10;255,1;144,1;3,162;19,87;7,411;2,321;7,767;0,3909;
2|11;260,5;149,5;4,642;29,16;7,414;1,930;7,661;0,2627;
3|1;294,1;33,01; ; ; ; ; ; ;
3|2;327,2;66,15; ; ; ; ; ; ;
3|3;360,4;99,34; ; ; ; ; ; ;
3|4;393,6;132,5; ; ; ; ; ; ;
3|5;426,7;165,7; ; ; ; ; ; ;
3|6;459,9;198,8; ; ; ; ; ; ;
3|7;493,1;232,0; ; ; ; ; ; ;
3|8;526,2;265,1; ; ; ; ; ; ;
3|9;559,4;298,3; ; ; ; ; ; ;
3|10;592,6;331,5; ; ; ; ; ; ;
