G'';Eta*;f;G';omega
0,8516;4,354;0,1000;2,600;0,6283
0,8447;3,264;0,1468;2,889;0,9222
0,8511;2,379;0,2154;3,106;1,354
0,8575;1,724;0,3162;3,317;1,987
0,8722;1,242;0,4642;3,515;2,916
0,9135;0,9046;0,6813;3,763;4,281
0,9441;0,6316;1,000;3,855;6,283
1,005;0,4734;1,468;4,249;9,222
1,054;0,3541;2,154;4,676;13,54
1,879;0,3634;3,162;6,972;19,87
1,458;0,1735;4,642;4,845;29,16
