G'';Tau;G';omega;T
8,571;1,0;1,495;0,06283;24,92
10,30;1,0;2,273;0,08115;25,08
13,62;1,0;3,949;0,1048;24,85
16,61;1,0;6,391;0,1354;24,98
18,55;1,0;8,365;0,1748;25,19
20,90;1,0;11,02;0,2258;25,46
25,03;1,0;23,11;0,2916;24,27
24,59;1,0;30,11;0,3767;24,26
23,74;1,0;33,83;0,4865;24,87
22,11;1,0;37,75;0,6283;24,99
19,57;1,001;41,80;0,8115;25,0
16,65;1,001;44,86;1,048;25,0
13,75;1,003;47,09;1,354;25,0
11,29;1,004;48,90;1,748;25,0
9,193;1,0070000000000001;50,17;2,258;25,01
7,437;1,013;50,70;2,916;25,02
6,137;1,021;51,24;3,767;25,03
4,851;1,037;51,06;4,865;25,04
4,063;1,062;51,84;6,283;25,05
3,557;1,109;51,89;8,115;25,07
2,932;1,196;52,18;10,48;25,09
2,453;1,3780000000000001;52,23;13,54;25,12
2,258;1,858;51,83;17,48;25,15
2,333;4,121;52,67;22,58;25,18
2,446;3,177;51,18;29,16;25,23
4,983;1,041;57,16;37,67;25,27
15,01;0,4474;45,35;48,65;25,32
5,841;0,7363;105,2;62,83;25,38
