G'';Eta*;f;G';omega
1,466;7,274;0,1000;4,329;0,6283
1,475;5,349;0,1468;4,708;0,9222
1,500;3,896;0,2154;5,056;1,354
1,550;2,827;0,3162;5,398;1,987
1,602;2,043;0,4642;5,739;2,916
1,661;1,473;0,6813;6,083;4,281
1,748;1,065;1,000;6,460;6,283
1,870;0,7628;1,468;6,782;9,222
2,025;0,5756;2,154;7,524;13,54
2,750;0,4577;3,162;8,669;19,87
2,752;0,3323;4,642;9,292;29,16
