G'';Eta*;f;G';omega
0,4783;1,625;0,1000;0,9023;0,6283
0,5313;1,339;0,1468;1,115;0,9222
0,5810;1,040;0,2154;1,282;1,354
0,6300;0,7893;0,3162;1,436;1,987
0,6872;0,5891;0,4642;1,575;2,916
0,7460;0,4285;0,6813;1,676;4,281
0,8528;0,3474;1,000;2,009;6,283
0,3552;0,2891;1,468;2,642;9,222
0,1202;0,1684;2,154;2,277;13,54
3,633;0,2135;3,162;2,191;19,87
6,827;0,5550;4,642;14,67;29,16
