G'';Eta*;f;G';omega
1,164;5,444;0,1000;3,216;0,6283
1,145;4,153;0,1468;3,655;0,9222
1,155;3,057;0,2154;3,973;1,354
1,181;2,229;0,3162;4,269;1,987
1,220;1,619;0,4642;4,560;2,916
1,284;1,169;0,6813;4,836;4,281
1,308;0,8249;1,000;5,015;6,283
1,399;0,5929;1,468;5,286;9,222
1,752;0,4503;2,154;5,839;13,54
1,577;0,3061;3,162;5,874;19,87
2,293;0,2183;4,642;5,940;29,16
