G'';Eta*;f;G';omega
1,391;5,286;0,1000;3,016;0,6283
1,389;4,108;0,1468;3,525;0,9222
1,401;3,063;0,2154;3,902;1,354
1,431;2,260;0,3162;4,257;1,987
1,487;1,662;0,4642;4,613;2,916
1,548;1,214;0,6813;4,959;4,281
1,601;0,8782;1,000;5,280;6,283
1,697;0,6382;1,468;5,635;9,222
1,977;0,4971;2,154;6,432;13,54
2,321;0,3909;3,162;7,411;19,87
1,930;0,2627;4,642;7,414;29,16
