G'';Eta*;f;G';omega
0,5333;1,545;0,1000;0,8115;0,6283
0,5877;1,326;0,1468;1,073;0,9222
0,6292;1,043;0,2154;1,263;1,354
0,6736;0,7998;0,3162;1,439;1,987
0,7285;0,6017;0,4642;1,597;2,916
0,7899;0,4419;0,6813;1,719;4,281
0,8836;0,3560;1,000;2,055;6,283
0,5443;0,2921;1,468;2,638;9,222
0,2891;0,1964;2,154;2,643;13,54
2,241;0,1902;3,162;3,044;19,87
1,993;0,06838;4,642;0,07396;29,16
