G'';Eta*;f;G';omega
1,012;4,565;0,1000;2,684;0,6283
1,041;3,522;0,1468;3,077;0,9222
1,063;2,604;0,2154;3,360;1,354
1,091;1,906;0,3162;3,627;1,987
1,126;1,390;0,4642;3,895;2,916
1,186;1,011;0,6813;4,162;4,281
1,218;0,7119;1,000;4,304;6,283
1,299;0,5319;1,468;4,730;9,222
1,464;0,4058;2,154;5,295;13,54
1,889;0,2636;3,162;4,884;19,87
0,7699;0,1460;4,642;4,189;29,16
