G'';Eta*;f;G';omega
0,2056;0,8386;0,1000;0,4852;0,6283
0,2179;0,6402;0,1468;0,5487;0,9222
0,2277;0,4710;0,2154;0,5955;1,354
0,2326;0,3376;0,3162;0,6292;1,987
0,2672;0,2484;0,4642;0,6732;2,916
0,2422;0,2036;0,6813;0,8374;4,281
0,3950;0,1795;1,000;1,056;6,283
0,5967;0,1531;1,468;1,280;9,222
0,1187;0,08767;2,154;1,181;13,54
0,5737;0,04317;3,162;0,6376;19,87
1,272;0,1379;4,642;3,814;29,16
