G'';Eta*;f;G';omega
1,378;7,646;0,1000;4,602;0,6283
1,409;5,591;0,1468;4,960;0,9222
1,446;4,053;0,2154;5,293;1,354
1,488;2,932;0,3162;5,633;1,987
1,537;2,113;0,4642;5,967;2,916
1,600;1,519;0,6813;6,302;4,281
1,686;1,096;1,000;6,679;6,283
1,796;0,7810;1,468;6,975;9,222
1,849;0,5800;2,154;7,630;13,54
2,218;0,4256;3,162;8,160;19,87
2,626;0,3263;4,642;9,147;29,16
