nome;sobrenome;hora_coleta;hora_medida;data;num1;num2;a_exp1;aerr_exp1;b_exp1;berr_exp1;c_exp1;cerr_exp1;R2_exp1;media1;std1;a_exp2;aerr_exp2;b_exp2;berr_exp2;c_exp2;cerr_exp2;R2_exp2;media2;std2;G1_1Hz;G2_1Hz
jane;doe;09h00;15.56.08;2017-11-21;10;10;0.5505680990180366;0.2795359486396614;2.7722022649332083;1.5034770814629181;0.26380016166829756;0.27599340269745687;0.9884386564187696;6.074800000000001;1.2650440940931664;0.063420091786853;0.012612620668032405;0.3564474553216135;0.04787771971361759;0.170251827491341;0.008919168418394921;0.9811719369457914;1.6552222222222222;0.18190032543968063;6.46;1.7480000000000002
jane;doe;09h10;14.12.15;2017-12-05;10;7;2121.375692493675;nan;5831.397104027888;nan;-2121.0569958959895;nan;0.9794665615755752;1.8282500000000002;0.7063706268666612;0.8010780634202309;0.48044915103235614;3.292950376994146;2.304068068653468;-0.8589612933329468;0.4833578029733044;0.996274402160248;0.6894;0.11207553575283821;2.055;0.8836
jane;doe;09h30;14.04.12;2017-11-07;10;10;828.3633409081197;432978.7119553512;3530.190365542692;1845282.7333529931;-827.6288747443695;432978.7117013636;0.9854437448515468;4.9030000000000005;1.2756200061146739;0.07011090375665974;0.006545797219469948;0.41992630727832303;0.02982835862024781;0.13553104517951353;0.004722862592935285;0.9953356623034187;1.493125;0.10598872286710502;5.28;1.601
jane;doe;09h30;15.44.34;2017-11-21;10;10;9.46346991320715;55.58975987680372;58.99270563639935;347.9858688493992;-8.636701720513527;55.58840688521931;0.9968606027249889;6.2201;1.0960182890809806;0.10290018189443019;0.019852505351379567;0.6807465457142662;0.12757140878154782;0.12035059749001974;0.016337909751400245;0.9824200234282937;1.6407;0.24477869596841956;6.678999999999999;1.686
jane;doe;09h40;12.59.43;2017-12-05;10;8;1122.0099423052259;1392918.8598665746;3747.4383705104733;4652492.1507631065;-1121.724293914025;1392918.8601259196;0.9562979506708466;1.71769;0.5615032189578258;-1.0821103963962761e-06;0.1037552493226129;0.012321937916641348;86.18370064619215;-0.24170958595112482;0.03922096422024057;0.9262886671016604;0.5832714285714287;0.10905978326830935;1.949;0.7661
jane;doe;10h00;08.22.51;2017-10-26;9;8;0.9309162195289017;1.0361905394006503;2.513090936023723;3.131421087375657;-0.9436005828419786;1.027268994996872;0.9508683683555901;0.8095777777777777;0.27708643167301417;0.23586408536833778;0.04437464086887422;0.2547520181933802;0.060159746573087945;-0.6726746618367393;0.026450176273712392;0.9591462349138652;0.23020000000000002;0.02067587966689688;1.056;0.395
jane;doe;10h00;14.16.05;2017-11-07;10;10;2860.59560164179;517917.0842453064;15781.709908684452;2857438.147927091;-2859.9568885130175;517917.08461196907;0.9542698311987924;4.0018;0.7907937531366823;0.07142250512528528;0.011602581555494883;0.3927629314262132;0.04633375935883254;0.012657980367669705;0.008279643341646048;0.986458433161698;1.166666666666667;0.13612412636185323;4.303999999999999;1.218
jane;doe;10h00;15.19.39;2017-11-21;10;9;1024.7484065258786;560631.5565790393;6080.78039250139;3326707.308637851;-1024.0461014568073;560631.5515375348;0.9754618100123374;4.6523;0.8451113595260685;0.05417802284439716;0.01039329506092456;0.2842022717073891;0.04344703402445667;0.06310690115702913;0.006459163343538142;0.9781590345478144;1.2320000000000002;0.08458427749883543;5.015;1.308
jane;doe;10h10;13.12.02;2017-12-05;10;7;3476.0865403494226;1493985.990843334;12457.897061594584;5354308.820800435;-3475.80557034251;1493985.9776454803;0.9045293087091643;1.7105299999999999;0.5286697911740371;1.3352258481269386;1.333173827955445;5.039412863494273;5.562274820856378;-1.4104355364700496;1.3366930206260794;0.9960285575469385;0.6437999999999999;0.11963646123629225;2.009;0.8528
jane;doe;10h30;09.14.47;2017-10-26;10;10;0.17608342373701347;0.05918291640937463;0.6274442459055055;0.19884506727435988;0.41806151925660817;0.04756076085266151;0.9455057097260711;3.552222222222222;0.6224412114636972;0.011979612860417788;0.006168555355966936;0.15097233305310123;0.0235420155524018;-0.05961348701542956;0.007893049234419743;0.9736974305186795;0.9104111111111111;0.07169649680647575;3.855;0.9441
